iteration,epoch,minibatch,8,16,32,64,128
539941,25,15085,0.219,0.204,0.189,0.186,0.185
542127,25,17271,0.218,0.204,0.19,0.186,0.186
544313,25,19457,0.221,0.204,0.189,0.186,0.185
546499,25,21643,0.221,0.204,0.189,0.186,0.185
548685,26,1960,0.219,0.203,0.189,0.186,0.185
550871,26,4146,0.218,0.203,0.189,0.186,0.185
553057,26,6332,0.218,0.203,0.189,0.186,0.185
555243,26,8518,0.219,0.203,0.189,0.186,0.185
557429,26,10704,0.221,0.203,0.188,0.186,0.185
559615,26,12890,0.218,0.203,0.189,0.186,0.185
561801,26,15076,0.221,0.202,0.189,0.186,0.186
563987,26,17262,0.221,0.202,0.188,0.186,0.186
566173,26,19448,0.221,0.202,0.188,0.186,0.185
568359,26,21634,0.221,0.202,0.188,0.186,0.186
570545,27,1951,0.221,0.202,0.188,0.186,0.185
572731,27,4137,0.221,0.202,0.188,0.186,0.185
574917,27,6323,0.221,0.202,0.188,0.186,0.185
577103,27,8509,0.221,0.201,0.188,0.186,0.185
579289,27,10695,0.221,0.201,0.188,0.186,0.186
581475,27,12881,0.221,0.201,0.188,0.185,0.185
583661,27,15067,0.221,0.201,0.188,0.186,0.186
585847,27,17253,0.221,0.201,0.188,0.186,0.185
588033,27,19439,0.221,0.201,0.188,0.186,0.185
590219,27,21625,0.221,0.201,0.188,0.186,0.186
592405,28,1942,0.221,0.2,0.188,0.186,0.185
594591,28,4128,0.218,0.2,0.188,0.185,0.185
596777,28,6314,0.218,0.2,0.188,0.186,0.185
598963,28,8500,0.221,0.2,0.188,0.185,0.184
601149,28,10686,0.221,0.2,0.188,0.186,0.185
603335,28,12872,0.221,0.2,0.187,0.185,0.185
605521,28,15058,0.221,0.2,0.188,0.185,0.185
607707,28,17244,0.221,0.2,0.187,0.186,0.185
609893,28,19430,0.221,0.199,0.188,0.185,0.185
612079,28,21616,0.221,0.199,0.187,0.185,0.185
614265,29,1933,0.221,0.199,0.187,0.185,0.185
616451,29,4119,0.218,0.199,0.187,0.186,0.185
618637,29,6305,0.221,0.199,0.187,0.186,0.185
620823,29,8491,0.221,0.198,0.187,0.185,0.185
623009,29,10677,0.221,0.198,0.187,0.185,0.185
625195,29,12863,0.221,0.198,0.187,0.186,0.185
627381,29,15049,0.221,0.198,0.187,0.186,0.185
629567,29,17235,0.221,0.198,0.187,0.185,0.185
631753,29,19421,0.221,0.197,0.187,0.186,0.185
633939,29,21607,0.221,0.197,0.187,0.185,0.185
636125,30,1924,0.221,0.197,0.187,0.185,0.185
638311,30,4110,0.221,0.197,0.187,0.185,0.185
640497,30,6296,0.221,0.197,0.187,0.185,0.185
642683,30,8482,0.221,0.197,0.187,0.185,0.185
644869,30,10668,0.221,0.197,0.187,0.185,0.185
647055,30,12854,0.221,0.197,0.187,0.185,0.185
649241,30,15040,0.221,0.197,0.187,0.185,0.185
651427,30,17226,0.221,0.196,0.187,0.185,0.185
653613,30,19412,0.221,0.196,0.187,0.185,0.185
655799,30,21598,0.221,0.196,0.187,0.185,0.185
657985,31,1915,0.221,0.196,0.187,0.185,0.185
660171,31,4101,0.221,0.196,0.186,0.185,0.185
662357,31,6287,0.221,0.196,0.187,0.185,0.185
664543,31,8473,0.221,0.196,0.186,0.185,0.184
666729,31,10659,0.221,0.195,0.186,0.185,0.185
668915,31,12845,0.221,0.195,0.187,0.185,0.184
671101,31,15031,0.221,0.195,0.186,0.185,0.185
