iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
369433,17.0,19529.0,16.46085,0.206,0.505,9.477
371619,17.0,21715.0,16.45763,0.206,0.505,9.474
373805,18.0,2032.0,16.40705,0.206,0.506,9.471
375991,18.0,4218.0,16.42045,0.206,0.504,9.469
378177,18.0,6404.0,16.40899,0.206,0.503,9.469
380363,18.0,8590.0,16.40026,0.206,0.504,9.468
382549,18.0,10776.0,16.39672,0.206,0.507,9.466
384735,18.0,12962.0,16.39347,0.206,0.504,9.464
386921,18.0,15148.0,16.38702,0.206,0.502,9.462
389107,18.0,17334.0,16.38529,0.206,0.505,9.461
391293,18.0,19520.0,16.37871,0.206,0.505,9.461
393479,18.0,21706.0,16.37663,0.206,0.503,9.456
395665,19.0,2023.0,16.34144,0.206,0.505,9.455
397851,19.0,4209.0,16.33289,0.206,0.502,9.452
400037,19.0,6395.0,16.32358,0.205,0.506,9.452
402223,19.0,8581.0,16.32098,0.206,0.502,9.45
404409,19.0,10767.0,16.3145,0.205,0.504,9.449
406595,19.0,12953.0,16.31114,0.206,0.502,9.446
408781,19.0,15139.0,16.30439,0.205,0.502,9.446
410967,19.0,17325.0,16.30498,0.205,0.504,9.444
413153,19.0,19511.0,16.29962,0.206,0.504,9.444
415339,19.0,21697.0,16.29552,0.206,0.504,9.441
417525,20.0,2014.0,16.26683,0.206,0.502,9.441
419711,20.0,4200.0,16.25079,0.206,0.501,9.439
421897,20.0,6386.0,16.24154,0.206,0.502,9.44
424083,20.0,8572.0,16.23175,0.206,0.5,9.439
426269,20.0,10758.0,16.22285,0.206,0.502,9.438
428455,20.0,12944.0,16.2213,0.206,0.502,9.436
430641,20.0,15130.0,16.21725,0.206,0.5,9.435
432827,20.0,17316.0,16.21728,0.206,0.501,9.434
435013,20.0,19502.0,16.21233,0.206,0.501,9.435
437199,20.0,21688.0,16.21244,0.205,0.5,9.432
439385,21.0,2005.0,16.16657,0.205,0.503,9.431
441571,21.0,4191.0,16.16431,0.205,0.499,9.43
443757,21.0,6377.0,16.15756,0.205,0.499,9.43
445943,21.0,8563.0,16.15179,0.206,0.498,9.43
448129,21.0,10749.0,16.14102,0.205,0.499,9.429
450315,21.0,12935.0,16.13762,0.206,0.501,9.428
452501,21.0,15121.0,16.13486,0.205,0.498,9.427
454687,21.0,17307.0,16.13229,0.205,0.5,9.427
456873,21.0,19493.0,16.12686,0.205,0.499,9.426
459059,21.0,21679.0,16.12294,0.205,0.497,9.424
461245,22.0,1996.0,16.06013,0.205,0.499,9.423
463431,22.0,4182.0,16.07029,0.205,0.497,9.422
465617,22.0,6368.0,16.06867,0.206,0.498,9.423
467803,22.0,8554.0,16.0727,0.206,0.497,9.423
469989,22.0,10740.0,16.06722,0.205,0.498,9.422
472175,22.0,12926.0,16.06245,0.206,0.497,9.421
474361,22.0,15112.0,16.05567,0.205,0.497,9.421
476547,22.0,17298.0,16.05373,0.205,0.497,9.42
478733,22.0,19484.0,16.0475,0.205,0.498,9.421
480919,22.0,21670.0,16.04742,0.205,0.497,9.419
483105,23.0,1987.0,16.00906,0.205,0.499,9.418
485291,23.0,4173.0,16.02391,0.206,0.497,9.417
487477,23.0,6359.0,16.01845,0.206,0.497,9.418
489663,23.0,8545.0,16.00884,0.206,0.497,9.417
491849,23.0,10731.0,15.99941,0.205,0.498,9.417
494035,23.0,12917.0,15.9943,0.206,0.498,9.416
496221,23.0,15103.0,15.98762,0.205,0.498,9.416
498407,23.0,17289.0,15.98431,0.205,0.498,9.415
500593,23.0,19475.0,15.97829,0.205,0.497,9.415
502779,23.0,21661.0,15.97331,0.205,0.497,9.414
504965,24.0,1978.0,15.94534,0.205,0.495,9.414
507151,24.0,4164.0,15.93419,0.205,0.496,9.412
509337,24.0,6350.0,15.93529,0.205,0.496,9.413
511523,24.0,8536.0,15.93178,0.205,0.494,9.413
513709,24.0,10722.0,15.92293,0.205,0.497,9.413
515895,24.0,12908.0,15.91656,0.205,0.497,9.412
518081,24.0,15094.0,15.91217,0.204,0.497,9.411
520267,24.0,17280.0,15.90914,0.204,0.495,9.409
522453,24.0,19466.0,15.90159,0.204,0.495,9.41
524639,24.0,21652.0,15.89988,0.204,0.495,9.408
526825,25.0,1969.0,15.89459,0.204,0.495,9.408
529011,25.0,4155.0,15.88075,0.204,0.495,9.407
531197,25.0,6341.0,15.87008,0.204,0.494,9.407
533383,25.0,8527.0,15.86737,0.204,0.495,9.407
535569,25.0,10713.0,15.86053,0.203,0.495,9.406
537755,25.0,12899.0,15.85414,0.204,0.495,9.406
539941,25.0,15085.0,15.85504,0.203,0.5,9.406
542127,25.0,17271.0,15.85344,0.203,0.494,9.405
544313,25.0,19457.0,15.84596,0.203,0.496,9.406
546499,25.0,21643.0,15.84287,0.203,0.5,9.404
548685,26.0,1960.0,15.82385,0.203,0.497,9.404
550871,26.0,4146.0,15.81327,0.202,0.495,9.404
553057,26.0,6332.0,15.80895,0.202,0.495,9.404
555243,26.0,8518.0,15.80319,0.202,0.495,9.403
557429,26.0,10704.0,15.79356,0.202,0.495,9.403
559615,26.0,12890.0,15.78953,0.202,0.494,9.402
561801,26.0,15076.0,15.78718,0.202,0.498,9.402
563987,26.0,17262.0,15.78244,0.202,0.494,9.401
566173,26.0,19448.0,15.77791,0.202,0.496,9.403
568359,26.0,21634.0,15.7749,0.201,0.494,9.401
570545,27.0,1951.0,15.75063,0.201,0.494,9.4
572731,27.0,4137.0,15.74544,0.201,0.495,9.399
574917,27.0,6323.0,15.74413,0.201,0.494,9.4
577103,27.0,8509.0,15.73586,0.201,0.495,9.4
579289,27.0,10695.0,15.72917,0.201,0.497,9.4
581475,27.0,12881.0,15.72278,0.201,0.498,9.399
583661,27.0,15067.0,15.71863,0.2,0.495,9.399
585847,27.0,17253.0,15.71886,0.2,0.495,9.398
588033,27.0,19439.0,15.71355,0.2,0.495,9.399
590219,27.0,21625.0,15.71095,0.2,0.495,9.398
592405,28.0,1942.0,15.68193,0.2,0.493,9.398
594591,28.0,4128.0,15.68189,0.2,0.499,9.397
596777,28.0,6314.0,15.67169,0.199,0.494,9.396
598963,28.0,8500.0,15.66852,0.2,0.495,9.397
601149,28.0,10686.0,15.6631,0.199,0.497,9.397
603335,28.0,12872.0,15.65874,0.199,0.496,9.396
605521,28.0,15058.0,15.65576,0.199,0.495,9.395
607707,28.0,17244.0,15.6548,0.198,0.498,9.395
609893,28.0,19430.0,15.64766,0.199,0.494,9.395
612079,28.0,21616.0,15.6476,0.199,0.493,9.393
614265,29.0,1933.0,15.59506,0.198,0.495,9.392
616451,29.0,4119.0,15.60698,0.198,0.499,9.392
618637,29.0,6305.0,15.60831,0.198,0.5,9.392
620823,29.0,8491.0,15.60344,0.198,0.495,9.392
