iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
391293,18.0,19520.0,13.34478,0.187,0.461,9.537
393479,18.0,21706.0,13.34001,0.187,0.461,9.498
395665,19.0,2023.0,13.30476,0.187,0.462,9.516
397851,19.0,4209.0,13.29054,0.187,0.46,9.501
400037,19.0,6395.0,13.2875,0.187,0.461,9.514
402223,19.0,8581.0,13.28275,0.187,0.461,9.514
404409,19.0,10767.0,13.27552,0.187,0.461,9.487
406595,19.0,12953.0,13.27095,0.187,0.461,9.484
408781,19.0,15139.0,13.26811,0.187,0.461,9.496
410967,19.0,17325.0,13.2684,0.187,0.461,9.5
413153,19.0,19511.0,13.26095,0.187,0.461,9.53
415339,19.0,21697.0,13.25757,0.187,0.461,9.492
417525,20.0,2014.0,13.23322,0.187,0.462,9.51
419711,20.0,4200.0,13.20794,0.187,0.46,9.48
421897,20.0,6386.0,13.20199,0.186,0.461,9.497
424083,20.0,8572.0,13.19587,0.186,0.46,9.492
426269,20.0,10758.0,13.18506,0.187,0.46,9.475
428455,20.0,12944.0,13.18599,0.186,0.459,9.466
430641,20.0,15130.0,13.18087,0.187,0.46,9.496
432827,20.0,17316.0,13.17565,0.187,0.459,9.48
435013,20.0,19502.0,13.172,0.186,0.459,9.512
437199,20.0,21688.0,13.16981,0.187,0.459,9.48
439385,21.0,2005.0,13.15865,0.187,0.459,9.506
441571,21.0,4191.0,13.14527,0.187,0.46,9.488
443757,21.0,6377.0,13.13453,0.186,0.46,9.509
445943,21.0,8563.0,13.12787,0.186,0.458,9.488
448129,21.0,10749.0,13.11754,0.187,0.46,9.463
450315,21.0,12935.0,13.11595,0.187,0.46,9.478
452501,21.0,15121.0,13.11193,0.187,0.458,9.494
454687,21.0,17307.0,13.10722,0.187,0.459,9.483
456873,21.0,19493.0,13.10299,0.187,0.458,9.526
459059,21.0,21679.0,13.10023,0.187,0.458,9.472
461245,22.0,1996.0,13.04123,0.187,0.459,9.486
463431,22.0,4182.0,13.04683,0.186,0.458,9.482
465617,22.0,6368.0,13.04543,0.187,0.458,9.483
467803,22.0,8554.0,13.04238,0.187,0.457,9.478
469989,22.0,10740.0,13.02897,0.187,0.46,9.45
472175,22.0,12926.0,13.02245,0.187,0.458,9.454
474361,22.0,15112.0,13.01975,0.187,0.457,9.481
476547,22.0,17298.0,13.01824,0.187,0.456,9.474
478733,22.0,19484.0,13.01208,0.187,0.456,9.503
480919,22.0,21670.0,13.01242,0.186,0.456,9.447
483105,23.0,1987.0,12.97509,0.187,0.457,9.478
485291,23.0,4173.0,12.98577,0.187,0.457,9.476
487477,23.0,6359.0,12.97363,0.186,0.457,9.482
489663,23.0,8545.0,12.96999,0.187,0.456,9.449
491849,23.0,10731.0,12.95656,0.187,0.456,9.439
494035,23.0,12917.0,12.95187,0.186,0.457,9.441
496221,23.0,15103.0,12.95033,0.187,0.457,9.456
498407,23.0,17289.0,12.94901,0.187,0.456,9.441
500593,23.0,19475.0,12.94222,0.186,0.457,9.484
502779,23.0,21661.0,12.94002,0.186,0.456,9.441
504965,24.0,1978.0,12.91651,0.187,0.456,9.478
507151,24.0,4164.0,12.91921,0.186,0.455,9.452
509337,24.0,6350.0,12.91021,0.186,0.456,9.479
511523,24.0,8536.0,12.89964,0.186,0.454,9.464
513709,24.0,10722.0,12.88868,0.186,0.455,9.435
515895,24.0,12908.0,12.88114,0.186,0.456,9.454
518081,24.0,15094.0,12.88054,0.186,0.456,9.458
520267,24.0,17280.0,12.8805,0.186,0.455,9.433
522453,24.0,19466.0,12.87381,0.186,0.455,9.479
524639,24.0,21652.0,12.87271,0.186,0.454,9.45
526825,25.0,1969.0,12.86115,0.186,0.455,9.467
529011,25.0,4155.0,12.84578,0.186,0.454,9.441
531197,25.0,6341.0,12.8383,0.186,0.455,9.467
533383,25.0,8527.0,12.83732,0.186,0.455,9.446
535569,25.0,10713.0,12.82708,0.186,0.455,9.426
537755,25.0,12899.0,12.82444,0.186,0.455,9.416
539941,25.0,15085.0,12.82245,0.186,0.455,9.433
542127,25.0,17271.0,12.82068,0.186,0.454,9.432
544313,25.0,19457.0,12.816,0.186,0.455,9.476
546499,25.0,21643.0,12.8146,0.186,0.454,9.424
548685,26.0,1960.0,12.80401,0.186,0.456,9.445
550871,26.0,4146.0,12.79566,0.186,0.454,9.428
553057,26.0,6332.0,12.78999,0.186,0.454,9.461
555243,26.0,8518.0,12.78999,0.186,0.454,9.433
557429,26.0,10704.0,12.78491,0.186,0.454,9.434
559615,26.0,12890.0,12.77283,0.186,0.454,9.423
561801,26.0,15076.0,12.76759,0.186,0.454,9.425
563987,26.0,17262.0,12.76255,0.186,0.453,9.422
566173,26.0,19448.0,12.75716,0.186,0.453,9.454
568359,26.0,21634.0,12.75736,0.186,0.453,9.421
570545,27.0,1951.0,12.73996,0.186,0.455,9.43
572731,27.0,4137.0,12.73853,0.186,0.454,9.418
574917,27.0,6323.0,12.73538,0.186,0.453,9.423
577103,27.0,8509.0,12.72991,0.186,0.453,9.433
579289,27.0,10695.0,12.72036,0.186,0.453,9.398
581475,27.0,12881.0,12.71635,0.185,0.453,9.41
583661,27.0,15067.0,12.71256,0.186,0.454,9.43
585847,27.0,17253.0,12.71179,0.186,0.453,9.405
588033,27.0,19439.0,12.70679,0.186,0.453,9.455
590219,27.0,21625.0,12.70546,0.186,0.454,9.407
592405,28.0,1942.0,12.68883,0.186,0.454,9.425
594591,28.0,4128.0,12.69891,0.185,0.453,9.417
596777,28.0,6314.0,12.68309,0.186,0.453,9.43
598963,28.0,8500.0,12.67867,0.185,0.453,9.408
601149,28.0,10686.0,12.67045,0.186,0.453,9.399
603335,28.0,12872.0,12.66664,0.185,0.454,9.4
605521,28.0,15058.0,12.66347,0.185,0.454,9.408
607707,28.0,17244.0,12.66248,0.186,0.452,9.406
609893,28.0,19430.0,12.65778,0.185,0.452,9.427
612079,28.0,21616.0,12.65727,0.185,0.452,9.396
614265,29.0,1933.0,12.64852,0.185,0.453,9.427
616451,29.0,4119.0,12.62838,0.186,0.453,9.419
618637,29.0,6305.0,12.62809,0.186,0.452,9.417
620823,29.0,8491.0,12.6282,0.185,0.453,9.397
623009,29.0,10677.0,12.62305,0.185,0.453,9.383
625195,29.0,12863.0,12.61937,0.186,0.453,9.379
627381,29.0,15049.0,12.61762,0.186,0.451,9.401
629567,29.0,17235.0,12.6146,0.185,0.452,9.403
631753,29.0,19421.0,12.61029,0.186,0.451,9.415
633939,29.0,21607.0,12.60924,0.185,0.451,9.391
636125,30.0,1924.0,12.60443,0.185,0.452,9.404
638311,30.0,4110.0,12.60317,0.185,0.452,9.406
640497,30.0,6296.0,12.58529,0.185,0.452,9.405
642683,30.0,8482.0,12.58887,0.185,0.451,9.392
644869,30.0,10668.0,12.58,0.185,0.452,9.381
647055,30.0,12854.0,12.57953,0.185,0.452,9.38
649241,30.0,15040.0,12.57779,0.185,0.452,9.373
651427,30.0,17226.0,12.57779,0.185,0.452,9.388
653613,30.0,19412.0,12.57179,0.185,0.451,9.404
655799,30.0,21598.0,12.57025,0.185,0.451,9.367
657985,31.0,1915.0,12.55411,0.185,0.451,9.399
660171,31.0,4101.0,12.53395,0.185,0.452,9.384
662357,31.0,6287.0,12.52445,0.185,0.45,9.4
664543,31.0,8473.0,12.52798,0.185,0.451,9.371
666729,31.0,10659.0,12.52215,0.185,0.451,9.357
668915,31.0,12845.0,12.52039,0.185,0.451,9.363
671101,31.0,15031.0,12.51937,0.185,0.451,9.372
673287,31.0,17217.0,12.51992,0.185,0.451,9.368
675473,31.0,19403.0,12.5155,0.185,0.45,9.39
677659,31.0,21589.0,12.51343,0.185,0.451,9.384
679845,32.0,1906.0,12.49293,0.185,0.451,9.386
682031,32.0,4092.0,12.48227,0.185,0.45,9.381
684217,32.0,6278.0,12.48054,0.185,0.451,9.386
686403,32.0,8464.0,12.48403,0.185,0.451,9.368
688589,32.0,10650.0,12.47966,0.185,0.45,9.351
690775,32.0,12836.0,12.47444,0.185,0.451,9.371
692961,32.0,15022.0,12.47168,0.185,0.451,9.353
695147,32.0,17208.0,12.4685,0.185,0.451,9.364
697333,32.0,19394.0,12.46315,0.185,0.45,9.391
699519,32.0,21580.0,12.46361,0.185,0.45,9.355
701705,33.0,1897.0,12.45028,0.185,0.451,9.382
703891,33.0,4083.0,12.46466,0.185,0.451,9.38
706077,33.0,6269.0,12.45412,0.185,0.45,9.365
708263,33.0,8455.0,12.45061,0.185,0.45,9.362
710449,33.0,10641.0,12.4459,0.185,0.45,9.338
712635,33.0,12827.0,12.43976,0.185,0.45,9.353
714821,33.0,15013.0,12.43512,0.185,0.45,9.346
717007,33.0,17199.0,12.43483,0.185,0.449,9.337
719193,33.0,19385.0,12.43169,0.185,0.45,9.389
721379,33.0,21571.0,12.42972,0.185,0.449,9.353
723565,34.0,1888.0,12.39922,0.185,0.449,9.357
725751,34.0,4074.0,12.40865,0.185,0.449,9.351
727937,34.0,6260.0,12.39811,0.185,0.45,9.341
730123,34.0,8446.0,12.40046,0.185,0.45,9.34
732309,34.0,10632.0,12.39569,0.185,0.451,9.326
734495,34.0,12818.0,12.39526,0.185,0.45,9.346
736681,34.0,15004.0,12.39214,0.185,0.45,9.328
738867,34.0,17190.0,12.39297,0.185,0.449,9.343
741053,34.0,19376.0,12.38881,0.185,0.448,9.354
743239,34.0,21562.0,12.38999,0.185,0.449,9.336
745425,35.0,1879.0,12.40545,0.185,0.449,9.341
